instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
268448774,1048628,GBPINR24DECFUT,"GBPINR",0,2024-12-27,0,0.0025,1,FUT,BCD-FUT,BCD
269248006,1051750,GBPINR25JANFUT,"GBPINR",0,2025-01-29,0,0.0025,1,FUT,BCD-FUT,BCD
270018054,1054758,GBPINR25FEBFUT,"GBPINR",0,2025-02-26,0,0.0025,1,FUT,BCD-FUT,BCD
270682374,1057353,GBPINR25MARFUT,"GBPINR",0,2025-03-27,0,0.0025,1,FUT,BCD-FUT,BCD
271633926,1061070,GBPINR25APRFUT,"GBPINR",0,2025-04-28,0,0.0025,1,FUT,BCD-FUT,BCD
272665606,1065100,GBPINR25MAYFUT,"GBPINR",0,2025-05-28,0,0.0025,1,FUT,BCD-FUT,BCD
273476358,1068267,GBPINR25JUNFUT,"GBPINR",0,2025-06-26,0,0.0025,1,FUT,BCD-FUT,BCD
261799686,1022655,JPYINR24JULFUT,"JPYINR",0,2024-07-29,0,0.0025,1,FUT,BCD-FUT,BCD
262676486,1026080,JPYINR24AUGFUT,"JPYINR",0,2024-08-28,0,0.0025,1,FUT,BCD-FUT,BCD
263556870,1029519,JPYINR24SEPFUT,"JPYINR",0,2024-09-26,0,0.0025,1,FUT,BCD-FUT,BCD
264741382,1034146,JPYINR24OCTFUT,"JPYINR",0,2024-10-29,0,0.0025,1,FUT,BCD-FUT,BCD
265970182,1038946,JPYINR24NOVFUT,"JPYINR",0,2024-11-27,0,0.0025,1,FUT,BCD-FUT,BCD
268449286,1048630,JPYINR24DECFUT,"JPYINR",0,2024-12-27,0,0.0025,1,FUT,BCD-FUT,BCD
269248518,1051752,JPYINR25JANFUT,"JPYINR",0,2025-01-29,0,0.0025,1,FUT,BCD-FUT,BCD
270018566,1054760,JPYINR25FEBFUT,"JPYINR",0,2025-02-26,0,0.0025,1,FUT,BCD-FUT,BCD
270682886,1057355,JPYINR25MARFUT,"JPYINR",0,2025-03-27,0,0.0025,1,FUT,BCD-FUT,BCD
271634438,1061072,JPYINR25APRFUT,"JPYINR",0,2025-04-28,0,0.0025,1,FUT,BCD-FUT,BCD
272666118,1065102,JPYINR25MAYFUT,"JPYINR",0,2025-05-28,0,0.0025,1,FUT,BCD-FUT,BCD
273476870,1068269,JPYINR25JUNFUT,"JPYINR",0,2025-06-26,0,0.0025,1,FUT,BCD-FUT,BCD
272087814,1062843,USDINR24719FUT,"USDINR",0,2024-07-19,0,0.0025,1,FUT,BCD-FUT,BCD
272234502,1063416,USDINR24726FUT,"USDINR",0,2024-07-26,0,0.0025,1,FUT,BCD-FUT,BCD
261798918,1022652,USDINR24JULFUT,"USDINR",0,2024-07-29,0,0.0025,1,FUT,BCD-FUT,BCD
272369414,1063943,USDINR24802FUT,"USDINR",0,2024-08-02,0,0.0025,1,FUT,BCD-FUT,BCD
272514566,1064510,USDINR24809FUT,"USDINR",0,2024-08-09,0,0.0025,1,FUT,BCD-FUT,BCD
272770054,1065508,USDINR24816FUT,"USDINR",0,2024-08-16,0,0.0025,1,FUT,BCD-FUT,BCD
273002758,1066417,USDINR24823FUT,"USDINR",0,2024-08-23,0,0.0025,1,FUT,BCD-FUT,BCD
262675718,1026077,USDINR24AUGFUT,"USDINR",0,2024-08-28,0,0.0025,1,FUT,BCD-FUT,BCD
273166598,1067057,USDINR24830FUT,"USDINR",0,2024-08-30,0,0.0025,1,FUT,BCD-FUT,BCD
273318150,1067649,USDINR24906FUT,"USDINR",0,2024-09-06,0,0.0025,1,FUT,BCD-FUT,BCD
273570566,1068635,USDINR24913FUT,"USDINR",0,2024-09-13,0,0.0025,1,FUT,BCD-FUT,BCD
273804294,1069548,USDINR24920FUT,"USDINR",0,2024-09-20,0,0.0025,1,FUT,BCD-FUT,BCD
263556102,1029516,USDINR24SEPFUT,"USDINR",0,2024-09-26,0,0.0025,1,FUT,BCD-FUT,BCD
273947398,1070107,USDINR24927FUT,"USDINR",0,2024-09-27,0,0.0025,1,FUT,BCD-FUT,BCD
264740614,1034143,USDINR24OCTFUT,"USDINR",0,2024-10-29,0,0.0025,1,FUT,BCD-FUT,BCD
265969158,1038942,USDINR24NOVFUT,"USDINR",0,2024-11-27,0,0.0025,1,FUT,BCD-FUT,BCD
268448518,1048627,USDINR24DECFUT,"USDINR",0,2024-12-27,0,0.0025,1,FUT,BCD-FUT,BCD
269247750,1051749,USDINR25JANFUT,"USDINR",0,2025-01-29,0,0.0025,1,FUT,BCD-FUT,BCD
270017798,1054757,USDINR25FEBFUT,"USDINR",0,2025-02-26,0,0.0025,1,FUT,BCD-FUT,BCD
270682118,1057352,USDINR25MARFUT,"USDINR",0,2025-03-27,0,0.0025,1,FUT,BCD-FUT,BCD
271633670,1061069,USDINR25APRFUT,"USDINR",0,2025-04-28,0,0.0025,1,FUT,BCD-FUT,BCD
272665350,1065099,USDINR25MAYFUT,"USDINR",0,2025-05-28,0,0.0025,1,FUT,BCD-FUT,BCD
273476102,1068266,USDINR25JUNFUT,"USDINR",0,2025-06-26,0,0.0025,1,FUT,BCD-FUT,BCD
556295430,2173029,EURINR24JUL88.75CE,"EURINR",0,2024-07-29,88.75,0.0025,1,CE,BCD-OPT,BCD
556300806,2173050,EURINR24JUL86.75PE,"EURINR",0,2024-07-29,86.75,0.0025,1,PE,BCD-OPT,BCD
556301062,2173051,EURINR24JUL88.25PE,"EURINR",0,2024-07-29,88.25,0.0025,1,PE,BCD-OPT,BCD
556304902,2173066,EURINR24JUL86.75CE,"EURINR",0,2024-07-29,86.75,0.0025,1,CE,BCD-OPT,BCD
556306694,2173073,EURINR24JUL88.25CE,"EURINR",0,2024-07-29,88.25,0.0025,1,CE,BCD-OPT,BCD
556312326,2173095,EURINR24JUL86.25PE,"EURINR",0,2024-07-29,86.25,0.0025,1,PE,BCD-OPT,BCD
556316166,2173110,EURINR24JUL86.25CE,"EURINR",0,2024-07-29,86.25,0.0025,1,CE,BCD-OPT,BCD
556318214,2173118,EURINR24JUL91PE,"EURINR",0,2024-07-29,91,0.0025,1,PE,BCD-OPT,BCD
556322054,2173133,EURINR24JUL91CE,"EURINR",0,2024-07-29,91,0.0025,1,CE,BCD-OPT,BCD
556325126,2173145,EURINR24JUL93.5PE,"EURINR",0,2024-07-29,93.5,0.0025,1,PE,BCD-OPT,BCD
556328966,2173160,EURINR24JUL93.5CE,"EURINR",0,2024-07-29,93.5,0.0025,1,CE,BCD-OPT,BCD
556334598,2173182,EURINR24JUL91.5PE,"EURINR",0,2024-07-29,91.5,0.0025,1,PE,BCD-OPT,BCD
556335366,2173185,EURINR24JUL93PE,"EURINR",0,2024-07-29,93,0.0025,1,PE,BCD-OPT,BCD
556338950,2173199,EURINR24JUL91.5CE,"EURINR",0,2024-07-29,91.5,0.0025,1,CE,BCD-OPT,BCD
556339718,2173202,EURINR24JUL93CE,"EURINR",0,2024-07-29,93,0.0025,1,CE,BCD-OPT,BCD
556348678,2173237,EURINR24JUL92.75PE,"EURINR",0,2024-07-29,92.75,0.0025,1,PE,BCD-OPT,BCD
556349190,2173239,EURINR24JUL94.25PE,"EURINR",0,2024-07-29,94.25,0.0025,1,PE,BCD-OPT,BCD
556353286,2173255,EURINR24JUL92.75CE,"EURINR",0,2024-07-29,92.75,0.0025,1,CE,BCD-OPT,BCD
556353798,2173257,EURINR24JUL94.25CE,"EURINR",0,2024-07-29,94.25,0.0025,1,CE,BCD-OPT,BCD
556358150,2173274,EURINR24JUL90.75PE,"EURINR",0,2024-07-29,90.75,0.0025,1,PE,BCD-OPT,BCD
556358406,2173275,EURINR24JUL92.25PE,"EURINR",0,2024-07-29,92.25,0.0025,1,PE,BCD-OPT,BCD
556362758,2173292,EURINR24JUL90.75CE,"EURINR",0,2024-07-29,90.75,0.0025,1,CE,BCD-OPT,BCD
556363270,2173294,EURINR24JUL92.25CE,"EURINR",0,2024-07-29,92.25,0.0025,1,CE,BCD-OPT,BCD
556368902,2173316,EURINR24JUL90.25PE,"EURINR",0,2024-07-29,90.25,0.0025,1,PE,BCD-OPT,BCD
556369926,2173320,EURINR24JUL88.5PE,"EURINR",0,2024-07-29,88.5,0.0025,1,PE,BCD-OPT,BCD
556373510,2173334,EURINR24JUL90.25CE,"EURINR",0,2024-07-29,90.25,0.0025,1,CE,BCD-OPT,BCD
556374790,2173339,EURINR24JUL88.5CE,"EURINR",0,2024-07-29,88.5,0.0025,1,CE,BCD-OPT,BCD
556380166,2173360,EURINR24JUL86.5PE,"EURINR",0,2024-07-29,86.5,0.0025,1,PE,BCD-OPT,BCD
556380678,2173362,EURINR24JUL88PE,"EURINR",0,2024-07-29,88,0.0025,1,PE,BCD-OPT,BCD
556385030,2173379,EURINR24JUL86.5CE,"EURINR",0,2024-07-29,86.5,0.0025,1,CE,BCD-OPT,BCD
556385798,2173382,EURINR24JUL88CE,"EURINR",0,2024-07-29,88,0.0025,1,CE,BCD-OPT,BCD
556391686,2173405,EURINR24JUL86PE,"EURINR",0,2024-07-29,86,0.0025,1,PE,BCD-OPT,BCD
556395526,2173420,EURINR24JUL86CE,"EURINR",0,2024-07-29,86,0.0025,1,CE,BCD-OPT,BCD
556421638,2173522,EURINR24JUL89.75PE,"EURINR",0,2024-07-29,89.75,0.0025,1,PE,BCD-OPT,BCD
556428038,2173547,EURINR24JUL89.75CE,"EURINR",0,2024-07-29,89.75,0.0025,1,CE,BCD-OPT,BCD
556435206,2173575,EURINR24JUL87.75PE,"EURINR",0,2024-07-29,87.75,0.0025,1,PE,BCD-OPT,BCD
556435718,2173577,EURINR24JUL89.25PE,"EURINR",0,2024-07-29,89.25,0.0025,1,PE,BCD-OPT,BCD
556449542,2173631,EURINR24JUL87.75CE,"EURINR",0,2024-07-29,87.75,0.0025,1,CE,BCD-OPT,BCD
556450054,2173633,EURINR24JUL89.25CE,"EURINR",0,2024-07-29,89.25,0.0025,1,CE,BCD-OPT,BCD
556456966,2173660,EURINR24JUL85.75PE,"EURINR",0,2024-07-29,85.75,0.0025,1,PE,BCD-OPT,BCD
556457222,2173661,EURINR24JUL87.25PE,"EURINR",0,2024-07-29,87.25,0.0025,1,PE,BCD-OPT,BCD
556459782,2173671,EURINR24JUL85.75CE,"EURINR",0,2024-07-29,85.75,0.0025,1,CE,BCD-OPT,BCD
556460038,2173672,EURINR24JUL87.25CE,"EURINR",0,2024-07-29,87.25,0.0025,1,CE,BCD-OPT,BCD
556468742,2173706,EURINR24JUL94.5PE,"EURINR",0,2024-07-29,94.5,0.0025,1,PE,BCD-OPT,BCD
556470022,2173711,EURINR24JUL90PE,"EURINR",0,2024-07-29,90,0.0025,1,PE,BCD-OPT,BCD
556472070,2173719,EURINR24JUL94.5CE,"EURINR",0,2024-07-29,94.5,0.0025,1,CE,BCD-OPT,BCD
556473862,2173726,EURINR24JUL90CE,"EURINR",0,2024-07-29,90,0.0025,1,CE,BCD-OPT,BCD
556477446,2173740,EURINR24JUL92.5PE,"EURINR",0,2024-07-29,92.5,0.0025,1,PE,BCD-OPT,BCD
556477958,2173742,EURINR24JUL94PE,"EURINR",0,2024-07-29,94,0.0025,1,PE,BCD-OPT,BCD
556482310,2173759,EURINR24JUL92.5CE,"EURINR",0,2024-07-29,92.5,0.0025,1,CE,BCD-OPT,BCD
556482822,2173761,EURINR24JUL94CE,"EURINR",0,2024-07-29,94,0.0025,1,CE,BCD-OPT,BCD
556488710,2173784,EURINR24JUL90.5PE,"EURINR",0,2024-07-29,90.5,0.0025,1,PE,BCD-OPT,BCD
556489222,2173786,EURINR24JUL92PE,"EURINR",0,2024-07-29,92,0.0025,1,PE,BCD-OPT,BCD
556492550,2173799,EURINR24JUL93.75PE,"EURINR",0,2024-07-29,93.75,0.0025,1,PE,BCD-OPT,BCD
556493318,2173802,EURINR24JUL90.5CE,"EURINR",0,2024-07-29,90.5,0.0025,1,CE,BCD-OPT,BCD
556493830,2173804,EURINR24JUL92CE,"EURINR",0,2024-07-29,92,0.0025,1,CE,BCD-OPT,BCD
556498182,2173821,EURINR24JUL93.75CE,"EURINR",0,2024-07-29,93.75,0.0025,1,CE,BCD-OPT,BCD
556504326,2173845,EURINR24JUL91.75PE,"EURINR",0,2024-07-29,91.75,0.0025,1,PE,BCD-OPT,BCD
556505094,2173848,EURINR24JUL93.25PE,"EURINR",0,2024-07-29,93.25,0.0025,1,PE,BCD-OPT,BCD
556510470,2173869,EURINR24JUL91.75CE,"EURINR",0,2024-07-29,91.75,0.0025,1,CE,BCD-OPT,BCD
556510982,2173871,EURINR24JUL93.25CE,"EURINR",0,2024-07-29,93.25,0.0025,1,CE,BCD-OPT,BCD
556516358,2173892,EURINR24JUL91.25PE,"EURINR",0,2024-07-29,91.25,0.0025,1,PE,BCD-OPT,BCD
556520966,2173910,EURINR24JUL91.25CE,"EURINR",0,2024-07-29,91.25,0.0025,1,CE,BCD-OPT,BCD
556526342,2173931,EURINR24JUL87.5PE,"EURINR",0,2024-07-29,87.5,0.0025,1,PE,BCD-OPT,BCD
556526854,2173933,EURINR24JUL89PE,"EURINR",0,2024-07-29,89,0.0025,1,PE,BCD-OPT,BCD
556531206,2173950,EURINR24JUL87.5CE,"EURINR",0,2024-07-29,87.5,0.0025,1,CE,BCD-OPT,BCD
556531718,2173952,EURINR24JUL89CE,"EURINR",0,2024-07-29,89,0.0025,1,CE,BCD-OPT,BCD
556536838,2173972,EURINR24JUL85.5PE,"EURINR",0,2024-07-29,85.5,0.0025,1,PE,BCD-OPT,BCD
556537606,2173975,EURINR24JUL87PE,"EURINR",0,2024-07-29,87,0.0025,1,PE,BCD-OPT,BCD
556541446,2173990,EURINR24JUL85.5CE,"EURINR",0,2024-07-29,85.5,0.0025,1,CE,BCD-OPT,BCD
556542726,2173995,EURINR24JUL87CE,"EURINR",0,2024-07-29,87,0.0025,1,CE,BCD-OPT,BCD
556547590,2174014,EURINR24JUL89.5PE,"EURINR",0,2024-07-29,89.5,0.0025,1,PE,BCD-OPT,BCD
556551942,2174031,EURINR24JUL89.5CE,"EURINR",0,2024-07-29,89.5,0.0025,1,CE,BCD-OPT,BCD
556590854,2174183,EURINR24JUL88.75PE,"EURINR",0,2024-07-29,88.75,0.0025,1,PE,BCD-OPT,BCD
557338118,2177102,EURINR24AUG92.75PE,"EURINR",0,2024-08-28,92.75,0.0025,1,PE,BCD-OPT,BCD
557338630,2177104,EURINR24AUG94.25PE,"EURINR",0,2024-08-28,94.25,0.0025,1,PE,BCD-OPT,BCD
557340422,2177111,EURINR24AUG92.75CE,"EURINR",0,2024-08-28,92.75,0.0025,1,CE,BCD-OPT,BCD
557340934,2177113,EURINR24AUG94.25CE,"EURINR",0,2024-08-28,94.25,0.0025,1,CE,BCD-OPT,BCD
557347334,2177138,EURINR24AUG86PE,"EURINR",0,2024-08-28,86,0.0025,1,PE,BCD-OPT,BCD
557351174,2177153,EURINR24AUG86CE,"EURINR",0,2024-08-28,86,0.0025,1,CE,BCD-OPT,BCD
557354502,2177166,EURINR24AUG88.5PE,"EURINR",0,2024-08-28,88.5,0.0025,1,PE,BCD-OPT,BCD
557358086,2177180,EURINR24AUG88.5CE,"EURINR",0,2024-08-28,88.5,0.0025,1,CE,BCD-OPT,BCD
557362694,2177198,EURINR24AUG86.5PE,"EURINR",0,2024-08-28,86.5,0.0025,1,PE,BCD-OPT,BCD
557362950,2177199,EURINR24AUG88PE,"EURINR",0,2024-08-28,88,0.0025,1,PE,BCD-OPT,BCD
557365510,2177209,EURINR24AUG89.75PE,"EURINR",0,2024-08-28,89.75,0.0025,1,PE,BCD-OPT,BCD
557365766,2177210,EURINR24AUG86.5CE,"EURINR",0,2024-08-28,86.5,0.0025,1,CE,BCD-OPT,BCD
557366022,2177211,EURINR24AUG88CE,"EURINR",0,2024-08-28,88,0.0025,1,CE,BCD-OPT,BCD
557368326,2177220,EURINR24AUG89.75CE,"EURINR",0,2024-08-28,89.75,0.0025,1,CE,BCD-OPT,BCD
557370630,2177229,EURINR24AUG87.75PE,"EURINR",0,2024-08-28,87.75,0.0025,1,PE,BCD-OPT,BCD
557370886,2177230,EURINR24AUG89.25PE,"EURINR",0,2024-08-28,89.25,0.0025,1,PE,BCD-OPT,BCD
557373190,2177239,EURINR24AUG87.75CE,"EURINR",0,2024-08-28,87.75,0.0025,1,CE,BCD-OPT,BCD
557373702,2177241,EURINR24AUG89.25CE,"EURINR",0,2024-08-28,89.25,0.0025,1,CE,BCD-OPT,BCD
557377286,2177255,EURINR24AUG85.75PE,"EURINR",0,2024-08-28,85.75,0.0025,1,PE,BCD-OPT,BCD
557377542,2177256,EURINR24AUG87.25PE,"EURINR",0,2024-08-28,87.25,0.0025,1,PE,BCD-OPT,BCD
557381126,2177270,EURINR24AUG85.75CE,"EURINR",0,2024-08-28,85.75,0.0025,1,CE,BCD-OPT,BCD
557381382,2177271,EURINR24AUG87.25CE,"EURINR",0,2024-08-28,87.25,0.0025,1,CE,BCD-OPT,BCD
557391110,2177309,EURINR24AUG94.5PE,"EURINR",0,2024-08-28,94.5,0.0025,1,PE,BCD-OPT,BCD
557394438,2177322,EURINR24AUG94.5CE,"EURINR",0,2024-08-28,94.5,0.0025,1,CE,BCD-OPT,BCD
557399558,2177342,EURINR24AUG92.5PE,"EURINR",0,2024-08-28,92.5,0.0025,1,PE,BCD-OPT,BCD
557400070,2177344,EURINR24AUG94PE,"EURINR",0,2024-08-28,94,0.0025,1,PE,BCD-OPT,BCD
557403654,2177358,EURINR24AUG92.5CE,"EURINR",0,2024-08-28,92.5,0.0025,1,CE,BCD-OPT,BCD
557403910,2177359,EURINR24AUG94CE,"EURINR",0,2024-08-28,94,0.0025,1,CE,BCD-OPT,BCD
557408518,2177377,EURINR24AUG90.5PE,"EURINR",0,2024-08-28,90.5,0.0025,1,PE,BCD-OPT,BCD
557409286,2177380,EURINR24AUG92PE,"EURINR",0,2024-08-28,92,0.0025,1,PE,BCD-OPT,BCD
557411846,2177390,EURINR24AUG90.5CE,"EURINR",0,2024-08-28,90.5,0.0025,1,CE,BCD-OPT,BCD
557412614,2177393,EURINR24AUG92CE,"EURINR",0,2024-08-28,92,0.0025,1,CE,BCD-OPT,BCD
557417222,2177411,EURINR24AUG90PE,"EURINR",0,2024-08-28,90,0.0025,1,PE,BCD-OPT,BCD
557419014,2177418,EURINR24AUG90CE,"EURINR",0,2024-08-28,90,0.0025,1,CE,BCD-OPT,BCD
557424134,2177438,EURINR24AUG91.25PE,"EURINR",0,2024-08-28,91.25,0.0025,1,PE,BCD-OPT,BCD
557427718,2177452,EURINR24AUG91.25CE,"EURINR",0,2024-08-28,91.25,0.0025,1,CE,BCD-OPT,BCD
557431302,2177466,EURINR24AUG93.75PE,"EURINR",0,2024-08-28,93.75,0.0025,1,PE,BCD-OPT,BCD
557433606,2177475,EURINR24AUG93.75CE,"EURINR",0,2024-08-28,93.75,0.0025,1,CE,BCD-OPT,BCD
557439238,2177497,EURINR24AUG91.75PE,"EURINR",0,2024-08-28,91.75,0.0025,1,PE,BCD-OPT,BCD
557440262,2177501,EURINR24AUG93.25PE,"EURINR",0,2024-08-28,93.25,0.0025,1,PE,BCD-OPT,BCD
557442310,2177509,EURINR24AUG85.5PE,"EURINR",0,2024-08-28,85.5,0.0025,1,PE,BCD-OPT,BCD
557442566,2177510,EURINR24AUG87PE,"EURINR",0,2024-08-28,87,0.0025,1,PE,BCD-OPT,BCD
557443334,2177513,EURINR24AUG91.75CE,"EURINR",0,2024-08-28,91.75,0.0025,1,CE,BCD-OPT,BCD
557444102,2177516,EURINR24AUG93.25CE,"EURINR",0,2024-08-28,93.25,0.0025,1,CE,BCD-OPT,BCD
557445894,2177523,EURINR24AUG85.5CE,"EURINR",0,2024-08-28,85.5,0.0025,1,CE,BCD-OPT,BCD
557446406,2177525,EURINR24AUG87CE,"EURINR",0,2024-08-28,87,0.0025,1,CE,BCD-OPT,BCD
557450246,2177540,EURINR24AUG89.5PE,"EURINR",0,2024-08-28,89.5,0.0025,1,PE,BCD-OPT,BCD
557454342,2177556,EURINR24AUG89.5CE,"EURINR",0,2024-08-28,89.5,0.0025,1,CE,BCD-OPT,BCD
557459718,2177577,EURINR24AUG87.5PE,"EURINR",0,2024-08-28,87.5,0.0025,1,PE,BCD-OPT,BCD
557459974,2177578,EURINR24AUG89PE,"EURINR",0,2024-08-28,89,0.0025,1,PE,BCD-OPT,BCD
557463558,2177592,EURINR24AUG87.5CE,"EURINR",0,2024-08-28,87.5,0.0025,1,CE,BCD-OPT,BCD
557463814,2177593,EURINR24AUG89CE,"EURINR",0,2024-08-28,89,0.0025,1,CE,BCD-OPT,BCD
557472518,2177627,EURINR24AUG88.75PE,"EURINR",0,2024-08-28,88.75,0.0025,1,PE,BCD-OPT,BCD
557475334,2177638,EURINR24AUG88.75CE,"EURINR",0,2024-08-28,88.75,0.0025,1,CE,BCD-OPT,BCD
557478918,2177652,EURINR24AUG86.75PE,"EURINR",0,2024-08-28,86.75,0.0025,1,PE,BCD-OPT,BCD
557479430,2177654,EURINR24AUG88.25PE,"EURINR",0,2024-08-28,88.25,0.0025,1,PE,BCD-OPT,BCD
557481734,2177663,EURINR24AUG86.75CE,"EURINR",0,2024-08-28,86.75,0.0025,1,CE,BCD-OPT,BCD
557481990,2177664,EURINR24AUG88.25CE,"EURINR",0,2024-08-28,88.25,0.0025,1,CE,BCD-OPT,BCD
557487622,2177686,EURINR24AUG86.25PE,"EURINR",0,2024-08-28,86.25,0.0025,1,PE,BCD-OPT,BCD
557491462,2177701,EURINR24AUG86.25CE,"EURINR",0,2024-08-28,86.25,0.0025,1,CE,BCD-OPT,BCD
557498886,2177730,EURINR24AUG93.5PE,"EURINR",0,2024-08-28,93.5,0.0025,1,PE,BCD-OPT,BCD
557502214,2177743,EURINR24AUG93.5CE,"EURINR",0,2024-08-28,93.5,0.0025,1,CE,BCD-OPT,BCD
557508358,2177767,EURINR24AUG91.5PE,"EURINR",0,2024-08-28,91.5,0.0025,1,PE,BCD-OPT,BCD
557508614,2177768,EURINR24AUG93PE,"EURINR",0,2024-08-28,93,0.0025,1,PE,BCD-OPT,BCD
557512454,2177783,EURINR24AUG91.5CE,"EURINR",0,2024-08-28,91.5,0.0025,1,CE,BCD-OPT,BCD
557512710,2177784,EURINR24AUG93CE,"EURINR",0,2024-08-28,93,0.0025,1,CE,BCD-OPT,BCD
557518086,2177805,EURINR24AUG91PE,"EURINR",0,2024-08-28,91,0.0025,1,PE,BCD-OPT,BCD
557520390,2177814,EURINR24AUG91CE,"EURINR",0,2024-08-28,91,0.0025,1,CE,BCD-OPT,BCD
557524742,2177831,EURINR24AUG90.75PE,"EURINR",0,2024-08-28,90.75,0.0025,1,PE,BCD-OPT,BCD
557525254,2177833,EURINR24AUG92.25PE,"EURINR",0,2024-08-28,92.25,0.0025,1,PE,BCD-OPT,BCD
557526790,2177839,EURINR24AUG90.75CE,"EURINR",0,2024-08-28,90.75,0.0025,1,CE,BCD-OPT,BCD
557527046,2177840,EURINR24AUG92.25CE,"EURINR",0,2024-08-28,92.25,0.0025,1,CE,BCD-OPT,BCD
557530630,2177854,EURINR24AUG90.25PE,"EURINR",0,2024-08-28,90.25,0.0025,1,PE,BCD-OPT,BCD
557534470,2177869,EURINR24AUG90.25CE,"EURINR",0,2024-08-28,90.25,0.0025,1,CE,BCD-OPT,BCD
546579206,2135075,EURINR24SEP85PE,"EURINR",0,2024-09-26,85,0.0025,1,PE,BCD-OPT,BCD
546580998,2135082,EURINR24SEP85CE,"EURINR",0,2024-09-26,85,0.0025,1,CE,BCD-OPT,BCD
546492166,2134735,EURINR24SEP85.25PE,"EURINR",0,2024-09-26,85.25,0.0025,1,PE,BCD-OPT,BCD
546495494,2134748,EURINR24SEP85.25CE,"EURINR",0,2024-09-26,85.25,0.0025,1,CE,BCD-OPT,BCD
546571014,2135043,EURINR24SEP85.5PE,"EURINR",0,2024-09-26,85.5,0.0025,1,PE,BCD-OPT,BCD
546573318,2135052,EURINR24SEP85.5CE,"EURINR",0,2024-09-26,85.5,0.0025,1,CE,BCD-OPT,BCD
546483206,2134700,EURINR24SEP85.75PE,"EURINR",0,2024-09-26,85.75,0.0025,1,PE,BCD-OPT,BCD
546487814,2134718,EURINR24SEP85.75CE,"EURINR",0,2024-09-26,85.75,0.0025,1,CE,BCD-OPT,BCD
546474246,2134665,EURINR24SEP86PE,"EURINR",0,2024-09-26,86,0.0025,1,PE,BCD-OPT,BCD
546476294,2134673,EURINR24SEP86CE,"EURINR",0,2024-09-26,86,0.0025,1,CE,BCD-OPT,BCD
546393094,2134348,EURINR24SEP86.25PE,"EURINR",0,2024-09-26,86.25,0.0025,1,PE,BCD-OPT,BCD
546395142,2134356,EURINR24SEP86.25CE,"EURINR",0,2024-09-26,86.25,0.0025,1,CE,BCD-OPT,BCD
546465542,2134631,EURINR24SEP86.5PE,"EURINR",0,2024-09-26,86.5,0.0025,1,PE,BCD-OPT,BCD
546468102,2134641,EURINR24SEP86.5CE,"EURINR",0,2024-09-26,86.5,0.0025,1,CE,BCD-OPT,BCD
546406662,2134401,EURINR24SEP86.75PE,"EURINR",0,2024-09-26,86.75,0.0025,1,PE,BCD-OPT,BCD
546411782,2134421,EURINR24SEP86.75CE,"EURINR",0,2024-09-26,86.75,0.0025,1,CE,BCD-OPT,BCD
546574342,2135056,EURINR24SEP87CE,"EURINR",0,2024-09-26,87,0.0025,1,CE,BCD-OPT,BCD
548054022,2140836,EURINR24SEP96.25PE,"EURINR",0,2024-09-26,96.25,0.0025,1,PE,BCD-OPT,BCD
